date,600519.SH,601398.SH,600036.SH,000001.SH,510300.SH
2010-01-04,92.5909593,2.28488335,8.74103615,3243.76,
2010-01-05,92.3185368,2.3062374,8.75090745,3282.179,
2010-01-06,90.8583522,2.28061254,8.5682884,3254.215,
2010-01-07,89.2020234,2.22509201,8.34618415,3192.776,
2010-01-08,88.26489,2.23363363,8.34618415,3195.997,
2010-01-11,87.87805005,2.2635293,8.3609911,3212.75,
2010-01-12,90.25357425,2.28061254,8.42515455,3273.966,
2010-01-13,87.9597768,2.17384229,7.97107475,3172.658,
2010-01-14,91.8281763,2.17384229,8.05991645,3215.55,
2010-01-15,92.55282015,2.16957148,8.05004515,3224.152,
2010-01-18,93.1575981,2.16957148,7.9858817,3237.098,
2010-01-19,92.49833565,2.16102986,8.02043125,3246.874,
2010-01-20,90.4006824,2.10550933,7.8279409,3151.85,
2010-01-21,90.84200685,2.14394662,7.97107475,3158.863,
2010-01-22,89.42540985,2.16957148,8.22772855,3128.588,
2010-01-25,90.4660638,2.14821743,8.01055995,3094.411,
2010-01-26,90.8256615,2.13113419,7.94146085,3019.394,
2010-01-27,89.3436831,2.0926969,7.6206436,2986.607,
2010-01-28,92.187774,2.07561366,7.46763845,2994.143,
2010-01-29,91.8281763,2.07134285,7.48738105,2989.292,
2010-02-01,92.01887205,2.0499888,7.54660885,2941.36,
2010-02-02,90.7275894,2.0499888,7.71442095,2934.713,
2010-02-03,90.40613085,2.10123852,7.89210435,3003.835,
2010-02-04,91.860867,2.08415528,7.82300525,2995.308,
2010-02-05,93.30470625,2.05853042,7.6403862,2939.402,
2010-02-08,93.29380935,2.0499888,7.46763845,2935.174,
2010-02-09,93.22842795,2.06280123,7.55648015,2948.842,
2010-02-10,93.62071635,2.07561366,7.66506445,2982.5,
2010-02-11,94.4652261,2.07561366,7.6798714,2985.499,
2010-02-12,94.30722105,2.09696771,7.7884557,3018.133,
2010-02-22,92.1223926,2.08415528,7.76377745,3003.398,
2010-02-23,90.85290375,2.06280123,7.6305149,2982.575,
2010-02-24,91.4903724,2.06280123,7.67493575,3022.177,
2010-02-25,91.67017125,2.08415528,7.8279409,3060.618,
2010-02-26,90.9019398,2.07988447,7.8476835,3051.943,
2010-03-01,90.5750328,2.09696771,8.0451095,3087.842,
2010-03-02,90.226332,2.09696771,8.1240799,3073.108,
2010-03-03,90.2590227,2.10550933,8.13888685,3097.005,
2010-03-04,89.9757033,2.06707204,7.9562678,3023.373,
2010-03-05,89.57796645,2.06707204,7.9562678,3031.065,
2010-03-08,88.9078071,2.07561366,7.9562678,3053.232,
2010-03-09,88.90235865,2.09696771,7.9562678,3069.141,
2010-03-10,89.1693327,2.08415528,7.9562678,3048.927,
2010-03-11,88.81518345,2.0926969,7.9562678,3051.282,
2010-03-12,88.2213024,2.07561366,7.9562678,3013.412,
2010-03-15,86.4669015,2.06280123,7.75319322,2976.939,
2010-03-16,86.5976643,2.05853042,8.00312826,2992.841,
2010-03-17,87.45307095,2.08415528,8.1489237,3050.479,
2010-03-18,86.30889645,2.07561366,8.08643994,3046.089,
2010-03-19,86.4995922,2.07561366,8.08643994,3067.75,
2010-03-22,86.08551,2.07988447,8.15933766,3074.576,
2010-03-23,85.6932216,2.07134285,8.10726786,3053.125,
2010-03-24,86.71208175,2.08415528,8.10726786,3056.808,
2010-03-25,86.0310255,2.07988447,8.03437014,3019.176,
2010-03-26,86.9899527,2.0926969,8.19578652,3059.715,
2010-03-29,88.1123334,2.13967581,8.4873774,3123.798,
